sEXT,sNEU,sAGR,sCON,sOPN
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
2.65,3,3.15,3.25,4.4
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
