anticipation,joy,negative,sadness,disgust,positive,anger,surprise,fear,trust,sEXT,sNEU,sAGR,sCON,sOPN
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,0,1,0,1,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,1,0,0,0,1,0,0,0,1,4.5,4,3,4.5,3.75
0,0,0,0,0,1,0,0,0,1,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
1,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,1,0,0,0,0,1,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,1,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
1,1,2,1,0,1,1,1,1,1,4.5,4,3,4.5,3.75
0,1,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
0,0,2,2,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,0,1,2,0,0,0,0,4.5,4,3,4.5,3.75
2,1,0,0,1,1,0,2,0,1,4.5,4,3,4.5,3.75
0,0,1,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,1,1,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,0,1,1,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
1,1,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
0,1,2,2,0,1,0,0,0,0,4.5,4,3,4.5,3.75
0,0,5,2,3,0,0,0,1,0,4.5,4,3,4.5,3.75
0,0,0,0,0,1,0,0,0,2,4.5,4,3,4.5,3.75
0,0,2,2,2,0,2,0,1,0,4.5,4,3,4.5,3.75
2,2,0,0,0,3,0,2,0,2,4.5,4,3,4.5,3.75
0,1,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
1,3,1,1,1,3,2,0,1,2,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,2,0,0,4.5,4,3,4.5,3.75
2,1,2,2,1,1,1,0,1,1,4.5,4,3,4.5,3.75
0,1,1,0,1,2,2,0,0,1,4.5,4,3,4.5,3.75
0,0,1,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,1,1,2,1,0,1,0,4.5,4,3,4.5,3.75
0,0,1,1,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,1,0,1,0,2,0,1,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,1,0,0,4.5,4,3,4.5,3.75
1,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
1,2,1,0,0,2,1,1,0,3,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,1,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
5,3,2,1,1,8,2,2,1,5,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,1,0,0,0,1,0,0,0,0,4.5,4,3,4.5,3.75
1,0,0,0,0,1,0,0,0,1,4.5,4,3,4.5,3.75
0,3,0,0,0,3,0,1,0,0,4.5,4,3,4.5,3.75
1,1,0,0,0,1,1,1,1,0,4.5,4,3,4.5,3.75
0,1,1,1,0,1,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,0,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
0,0,2,1,0,2,0,0,0,1,4.5,4,3,4.5,3.75
1,1,1,1,1,1,1,1,1,1,4.5,4,3,4.5,3.75
0,0,1,0,0,0,0,0,0,0,4.5,4,3,4.5,3.75
1,1,4,1,3,1,4,0,2,0,4.5,4,3,4.5,3.75
1,3,2,2,0,6,0,0,3,1,4.5,4,3,4.5,3.75
1,1,1,0,1,2,0,1,0,0,3.15,1.9,4.15,4,3.55
0,0,0,0,0,0,0,0,1,0,3.15,1.9,4.15,4,3.55
0,0,1,0,0,0,0,0,0,0,3.15,1.9,4.15,4,3.55
0,0,2,2,2,0,2,1,2,0,3.15,1.9,4.15,4,3.55
0,0,0,0,0,0,0,0,0,0,3.15,1.9,4.15,4,3.55
1,0,0,0,0,1,0,0,0,1,3.15,1.9,4.15,4,3.55
1,1,0,0,0,1,0,0,0,1,3.15,1.9,4.15,4,3.55
0,0,0,0,0,0,0,0,0,0,3.15,1.9,4.15,4,3.55
0,0,0,0,0,0,0,0,0,1,3.15,1.9,4.15,4,3.55
1,1,1,0,0,1,0,1,0,0,3.15,1.9,4.15,4,3.55
1,1,1,0,0,1,0,0,0,0,3.15,1.9,4.15,4,3.55
